id, payment type, payment trans id, payment trans success, failure reason
3576, Electronic, 18030, N, Account locked
3577, Cash, 33889, Y, 
3578, Electronic, 66179, Y, 
3579, Card, 51588, N, Invalid CVV
3580, Gift card, 42300, N, Insufficent funds
3581, Cash, 51858, Y, 
3582, Internet Banking, 26784, Y, 
3583, Electronic, 10431, Y, 
3584, Gift card, 78410, N, Insufficent funds
3585, Internet Banking, 60891, Y, 
3586, Gift card, 35437, Y, 
3587, Gift card, 91727, Y, 
3588, Card, 63589, Y, 
3589, Cash, 84790, Y, 
3590, Card, 13518, Y, 
3591, Electronic, 84768, Y, 
3592, Internet Banking, 54138, N, Account locked
3593, Gift card, 20489, Y, 
3594, Electronic, 97159, Y, 
3595, Gift card, 23999, Y, 
3596, Internet Banking, 15526, Y, 
3597, Gift card, 51849, Y, 
3598, Gift card, 98796, Y, 
3599, Gift card, 11166, Y, 
3600, Gift card, 12801, Y, 
3601, Gift card, 14642, N, Insufficent funds
3602, Card, 62608, Y, 
3603, Internet Banking, 88095, Y, 
3604, Cash, 70527, Y, 
3605, Gift card, 88118, N, Insufficent funds
3606, Internet Banking, 95056, Y, 
3607, Internet Banking, 78899, Y, 
3608, Electronic, 72453, N, Account locked
3609, Internet Banking, 50052, Y, 
3610, Cash, 88658, Y, 
3611, Cash, 23403, Y, 
3612, Gift card, 69155, Y, 
3613, Gift card, 55507, Y, 
3614, Electronic, 77895, Y, 
3615, Internet Banking, 40145, N, Account locked
3616, Card, 24234, Y, 
3617, Card, 64311, Y, 
3618, Gift card, 74282, Y, 
3619, Cash, 43266, N, Insufficent funds
3620, Card, 21405, Y, 
3621, Electronic, 83180, Y, 
3622, Gift card, 62099, N, Insufficent funds
3623, Cash, 43399, Y, 
3624, Cash, 64685, Y, 
3625, Internet Banking, 55199, Y, 
3626, Card, 25679, Y, 
3627, Card, 72058, N, Invalid zip code
3628, Card, 37602, Y, 
3629, Electronic, 45104, N, Account locked
3630, Card, 79665, Y, 
3631, Card, 63307, Y, 
3632, Gift card, 74626, N, Insufficent funds
3633, Internet Banking, 61625, Y, 
3634, Card, 76460, N, Invalid zip code
3635, Cash, 62657, Y, 
3636, Card, 86968, Y, 
3637, Cash, 61152, N, Insufficent funds
3638, Cash, 31604, Y, 
3639, Cash, 83094, Y, 
3640, Electronic, 57112, N, Account locked
3641, Electronic, 84732, Y, 
3642, Card, 93629, Y, 
3643, Cash, 70368, N, Insufficent funds
3644, Internet Banking, 23243, Y, 
3645, Cash, 26612, Y, 
3646, Card, 12215, N, Invalid zip code
3647, Gift card, 51301, N, Insufficent funds
3648, Gift card, 48769, Y, 
3649, Card, 24504, Y, 
3650, Internet Banking, 58312, Y, 
3651, Electronic, 82279, N, Account locked
3652, Card, 25659, N, Invalid CVV
3653, Cash, 37849, Y, 
3654, Electronic, 63487, N, Account locked
3655, Electronic, 71350, Y, 
3656, Internet Banking, 45199, Y, 
3657, Gift card, 79689, N, Insufficent funds
3658, Internet Banking, 60967, N, Account locked
3659, Electronic, 21925, Y, 
3660, Internet Banking, 55126, Y, 
3661, Gift card, 29085, N, Insufficent funds
3662, Cash, 77949, N, Insufficent funds
3663, Card, 23362, Y, 
3664, Internet Banking, 48071, Y, 
3665, Card, 22821, Y, 
3666, Electronic, 36104, Y, 
3667, Gift card, 29538, Y, 
3668, Gift card, 64508, N, Insufficent funds
3669, Cash, 90688, N, Insufficent funds
3670, Gift card, 57555, Y, 
3671, Electronic, 77080, Y, 
3672, Cash, 44750, Y, 
3673, Card, 25186, Y, 
3674, Electronic, 12861, Y, 
3675, Gift card, 43469, Y, 
3676, Gift card, 99195, Y, 
3677, Internet Banking, 46962, Y, 
3678, Internet Banking, 75678, Y, 
3679, Card, 74814, Y, 
3680, Gift card, 79791, N, Insufficent funds
3681, Internet Banking, 71918, Y, 
3682, Internet Banking, 56907, Y, 
3683, Electronic, 35164, Y, 
3684, Electronic, 28930, Y, 
3685, Card, 18549, Y, 
3686, Cash, 90068, Y, 
3687, Internet Banking, 96485, N, Account locked
3688, Electronic, 68845, Y, 
3689, Card, 39847, Y, 
3690, Cash, 16608, Y, 
3691, Card, 58998, Y, 
3692, Card, 13252, Y, 
3693, Internet Banking, 12568, Y, 
3694, Cash, 43572, Y, 
3695, Card, 20066, Y, 
3696, Electronic, 11235, Y, 
3697, Cash, 38444, N, Insufficent funds
3698, Internet Banking, 25803, Y, 
3699, Internet Banking, 93024, Y, 
3700, Gift card, 32058, Y, 
3701, Cash, 66270, Y, 
3702, Electronic, 45456, Y, 
3703, Card, 60904, Y, 
3704, Gift card, 40890, Y, 
3705, Gift card, 73499, Y, 
3706, Electronic, 63512, N, Account locked
3707, Gift card, 71543, Y, 
3708, Internet Banking, 24292, Y, 
3709, Card, 95747, Y, 
3710, Gift card, 31876, Y, 
3711, Internet Banking, 29920, Y, 
3712, Gift card, 50658, Y, 
3713, Electronic, 55707, N, Account locked
3714, Cash, 65837, N, Insufficent funds
3715, Internet Banking, 27580, Y, 
3716, Card, 33232, Y, 
3717, Internet Banking, 28220, Y, 
3718, Electronic, 42575, N, Account locked
3719, Electronic, 12742, N, Account locked
3720, Internet Banking, 33963, Y, 
3721, Internet Banking, 26051, N, Account locked
3722, Internet Banking, 10759, Y, 
3723, Electronic, 80342, N, Account locked
3724, Gift card, 79486, Y, 
3725, Internet Banking, 13311, N, Account locked
3726, Card, 85895, Y, 
3727, Electronic, 25896, N, Account locked
3728, Electronic, 45945, Y, 
3729, Gift card, 34820, N, Insufficent funds
3730, Electronic, 73366, N, Account locked
3731, Gift card, 45131, Y, 
3732, Internet Banking, 91314, Y, 
3733, Cash, 74341, Y, 
3734, Card, 16464, Y, 
3735, Gift card, 42147, Y, 
3736, Electronic, 37937, N, Account locked
3737, Gift card, 30508, Y, 
3738, Electronic, 92416, Y, 
3739, Gift card, 75809, Y, 
3740, Cash, 23370, N, Insufficent funds
3741, Internet Banking, 68823, Y, 
3742, Electronic, 12789, Y, 
3743, Internet Banking, 81204, N, Account locked
3744, Electronic, 48228, Y, 
3745, Internet Banking, 34590, Y, 
3746, Internet Banking, 85716, N, Account locked
3747, Internet Banking, 34918, Y, 
3748, Electronic, 92419, Y, 
3749, Electronic, 83639, Y, 
3750, Internet Banking, 93529, Y, 
3751, Gift card, 77673, Y, 
3752, Internet Banking, 34109, Y, 
3753, Internet Banking, 64994, Y, 
3754, Internet Banking, 15965, Y, 
3755, Electronic, 69743, Y, 
3756, Internet Banking, 58920, N, Account locked
3757, Card, 50656, Y, 
3758, Cash, 45471, N, Insufficent funds
3759, Electronic, 69000, Y, 
3760, Gift card, 62102, N, Insufficent funds
3761, Card, 30280, Y, 
3762, Internet Banking, 92950, Y, 
3763, Internet Banking, 75262, N, Account locked
3764, Card, 83154, Y, 
3765, Card, 36870, Y, 
3766, Electronic, 62197, Y, 
3767, Electronic, 63544, Y, 
3768, Gift card, 26537, Y, 
3769, Card, 84488, Y, 
3770, Internet Banking, 43678, Y, 
3771, Cash, 78359, Y, 
3772, Card, 23203, Y, 
3773, Gift card, 16951, Y, 
3774, Card, 70503, Y, 
3775, Gift card, 91893, Y, 
3776, Card, 53389, Y, 
3777, Electronic, 44701, Y, 
3778, Electronic, 81072, Y, 
3779, Card, 51106, Y, 
3780, Card, 30732, Y, 
3781, Gift card, 98380, Y, 
3782, Gift card, 65216, N, Insufficent funds
3783, Card, 62884, Y, 
3784, Cash, 46197, Y, 
3785, Electronic, 76324, Y, 
3786, Gift card, 38720, Y, 
3787, Internet Banking, 85868, Y, 
3788, Gift card, 43473, Y, 
3789, Cash, 85735, N, Insufficent funds
3790, Cash, 90559, N, Insufficent funds
3791, Card, 72184, Y, 
3792, Card, 92550, Y, 
3793, Internet Banking, 51835, Y, 
3794, Gift card, 96998, Y, 
3795, Gift card, 19154, Y, 
3796, Cash, 38048, Y, 
3797, Gift card, 60755, Y, 
3798, Electronic, 37635, N, Account locked
3799, Internet Banking, 46055, Y, 
3800, Card, 24355, Y, 
3801, Cash, 63976, Y, 
3802, Cash, 83530, Y, 
3803, Cash, 88748, N, Insufficent funds
3804, Card, 81105, N, Invalid CVV
3805, Internet Banking, 14280, N, Account locked
3806, Electronic, 96629, Y, 
3807, Gift card, 63596, Y, 
3808, Internet Banking, 87439, Y, 
3809, Electronic, 57401, Y, 
3810, Cash, 41990, Y, 
3811, Card, 65808, N, Invalid zip code
3812, Card, 60244, Y, 
3813, Internet Banking, 75757, Y, 
3814, Gift card, 19631, Y, 
3815, Internet Banking, 29185, Y, 
3816, Electronic, 18059, Y, 
3817, Cash, 66079, Y, 
3818, Gift card, 12662, Y, 
3819, Electronic, 61028, Y, 
3820, Electronic, 41540, Y, 
3821, Gift card, 15244, Y, 
3822, Gift card, 91528, Y, 
3823, Cash, 54731, Y, 
3824, Cash, 16879, Y, 
3825, Card, 25392, N, Invalid zip code
3826, Internet Banking, 72392, Y, 
3827, Card, 39285, Y, 
3828, Gift card, 17178, N, Insufficent funds
3829, Gift card, 28266, Y, 
3830, Cash, 81785, N, Insufficent funds
3831, Cash, 81788, Y, 
3832, Cash, 49694, Y, 
3833, Cash, 58811, Y, 
3834, Electronic, 47104, Y, 
3835, Card, 80076, N, Invalid zip code
3836, Cash, 70517, Y, 
3837, Electronic, 88899, Y, 
3838, Internet Banking, 80336, N, Account locked
3839, Internet Banking, 14343, Y, 
3840, Gift card, 82198, Y, 
3841, Internet Banking, 66673, Y, 
3842, Card, 54611, Y, 
3843, Gift card, 99921, Y, 
3844, Internet Banking, 38646, Y, 
3845, Electronic, 49239, N, Account locked
3846, Internet Banking, 68586, N, Account locked
3847, Gift card, 84662, N, Insufficent funds
3848, Cash, 29785, Y, 
3849, Card, 69022, Y, 
3850, Gift card, 98970, N, Insufficent funds
3851, Electronic, 18217, Y, 
3852, Cash, 77689, N, Insufficent funds
3853, Cash, 10931, N, Insufficent funds
3854, Electronic, 84157, N, Account locked
3855, Gift card, 57435, Y, 
3856, Cash, 20291, Y, 
3857, Card, 42003, N, Invalid CVV
3858, Internet Banking, 86285, Y, 
3859, Cash, 35078, Y, 
3860, Electronic, 91403, Y, 
3861, Cash, 43653, N, Insufficent funds
3862, Cash, 84143, Y, 
3863, Electronic, 55714, N, Account locked
3864, Card, 29956, Y, 
3865, Cash, 35263, N, Insufficent funds
3866, Internet Banking, 90265, Y, 
3867, Cash, 97153, Y, 
3868, Gift card, 46917, Y, 
3869, Electronic, 69742, N, Account locked
3870, Cash, 50227, Y, 
3871, Cash, 68666, N, Insufficent funds
3872, Gift card, 43341, Y, 
3873, Gift card, 52909, Y, 
3874, Internet Banking, 26799, N, Account locked
3875, Internet Banking, 73791, N, Account locked
3876, Gift card, 11539, N, Insufficent funds
3877, Electronic, 54404, Y, 
3878, Gift card, 92829, Y, 
3879, Card, 67344, Y, 
3880, Card, 31959, Y, 
3881, Gift card, 10562, Y, 
3882, Gift card, 43130, Y, 
3883, Electronic, 49467, Y, 
3884, Electronic, 36897, Y, 
3885, Internet Banking, 46795, Y, 
3886, Card, 10448, Y, 
3887, Internet Banking, 90609, Y, 
3888, Cash, 61197, N, Insufficent funds
3889, Gift card, 54303, Y, 
3890, Internet Banking, 68563, Y, 
3891, Internet Banking, 68327, Y, 
3892, Cash, 59411, Y, 
3893, Cash, 59161, Y, 
3894, Internet Banking, 75936, Y, 
3895, Electronic, 27977, Y, 
3896, Gift card, 35189, Y, 
3897, Internet Banking, 93343, Y, 
3898, Electronic, 72286, Y, 
3899, Electronic, 31462, N, Account locked
3900, Electronic, 65324, Y, 
3901, Card, 67585, Y, 
3902, Card, 26528, Y, 
3903, Card, 51747, Y, 
3904, Cash, 43871, Y, 
3905, Card, 47476, Y, 
3906, Electronic, 52135, N, Account locked
3907, Gift card, 29555, Y, 
3908, Card, 62190, N, Invalid CVV
3909, Card, 11734, N, Invalid zip code
3910, Gift card, 97303, Y, 
3911, Electronic, 49778, N, Account locked
3912, Electronic, 56595, Y, 
3913, Internet Banking, 78306, Y, 
3914, Internet Banking, 82540, N, Account locked
3915, Gift card, 24616, Y, 
3916, Electronic, 56816, Y, 
3917, Electronic, 98184, Y, 
3918, Gift card, 54267, Y, 
3919, Electronic, 45761, Y, 
3920, Gift card, 96982, Y, 
3921, Cash, 25076, Y, 
3922, Electronic, 34050, N, Account locked
3923, Internet Banking, 99714, Y, 
3924, Gift card, 82240, N, Insufficent funds
3925, Electronic, 86527, Y, 
3926, Cash, 39886, Y, 
3927, Gift card, 42902, N, Insufficent funds
3928, Cash, 38971, Y, 
3929, Card, 39088, Y, 
3930, Internet Banking, 10793, Y, 
3931, Internet Banking, 70074, Y, 
3932, Card, 61222, Y, 
3933, Gift card, 75364, Y, 
3934, Gift card, 71236, N, Insufficent funds
3935, Gift card, 87889, Y, 
3936, Card, 38676, Y, 
3937, Card, 63537, Y, 
3938, Card, 19227, Y, 
3939, Internet Banking, 43822, Y, 
3940, Internet Banking, 16987, N, Account locked
3941, Gift card, 64525, Y, 
3942, Cash, 16438, Y, 
3943, Internet Banking, 69689, Y, 
3944, Cash, 92848, Y, 
3945, Electronic, 71573, N, Account locked
3946, Cash, 39899, N, Insufficent funds
3947, Card, 70052, N, Invalid CVV
3948, Cash, 67049, Y, 
3949, Gift card, 44430, N, Insufficent funds
3950, Electronic, 35515, Y, 
3951, Cash, 99455, Y, 
3952, Cash, 16668, Y, 
3953, Gift card, 42045, Y, 
3954, Electronic, 59700, Y, 
3955, Gift card, 16483, Y, 
3956, Internet Banking, 48369, N, Account locked
3957, Card, 98427, Y, 
3958, Cash, 66445, Y, 
3959, Electronic, 12528, Y, 
3960, Card, 48274, N, Invalid card number
3961, Gift card, 76778, Y, 
3962, Cash, 80801, N, Insufficent funds
3963, Internet Banking, 13689, Y, 
3964, Cash, 97392, Y, 
3965, Gift card, 60914, Y, 
3966, Card, 28935, Y, 
3967, Cash, 24785, Y, 
3968, Internet Banking, 48400, Y, 
3969, Electronic, 60953, Y, 
3970, Card, 18492, Y, 
3971, Internet Banking, 50562, Y, 
3972, Electronic, 88648, N, Account locked
3973, Electronic, 15499, Y, 
3974, Cash, 79010, Y, 
3975, Cash, 37831, Y, 
3976, Internet Banking, 70516, Y, 
3977, Card, 83320, N, Invalid card number
3978, Electronic, 28807, Y, 
3979, Cash, 39205, Y, 
3980, Internet Banking, 39822, Y, 
3981, Cash, 60797, N, Insufficent funds
3982, Card, 27092, Y, 
3983, Cash, 97530, Y, 
3984, Cash, 23703, Y, 
3985, Internet Banking, 39409, Y, 
3986, Electronic, 78377, N, Account locked
3987, Internet Banking, 56656, Y, 
3988, Gift card, 73301, N, Insufficent funds
3989, Cash, 73609, Y, 
3990, Cash, 82207, Y, 
3991, Card, 62854, Y, 
3992, Internet Banking, 82753, Y, 
3993, Internet Banking, 13598, Y, 
3994, Cash, 55340, Y, 
3995, Internet Banking, 88449, N, Account locked
3996, Cash, 74165, Y, 
3997, Cash, 17008, Y, 
3998, Card, 22931, Y, 
3999, Electronic, 17556, Y, 
4000, Internet Banking, 71036, Y, 
4001, Cash, 84504, N, Insufficent funds
4002, Electronic, 57353, Y, 
4003, Gift card, 49378, Y, 
4004, Internet Banking, 87392, Y, 
4005, Electronic, 24995, Y, 
4006, Electronic, 13200, Y, 
4007, Card, 16993, N, Invalid card number
4008, Card, 65688, Y, 
4009, Cash, 29960, Y, 
4010, Electronic, 11695, Y, 
4011, Card, 28189, Y, 
4012, Cash, 12954, Y, 
4013, Card, 68309, Y, 
4014, Internet Banking, 84749, Y, 
4015, Gift card, 21397, Y, 
4016, Electronic, 54658, N, Account locked
4017, Card, 74020, Y, 
4018, Gift card, 64309, Y, 
4019, Electronic, 26520, Y, 
4020, Card, 56373, Y, 
4021, Internet Banking, 47835, Y, 
4022, Cash, 21736, Y, 
4023, Electronic, 90402, Y, 
4024, Card, 51806, Y, 
4025, Gift card, 64327, Y, 
4026, Card, 40215, N, Invalid zip code
4027, Gift card, 90262, Y, 
4028, Card, 75570, Y, 
4029, Cash, 31867, Y, 
4030, Card, 86973, Y, 
4031, Card, 15731, Y, 
4032, Card, 80959, N, Invalid zip code
4033, Gift card, 18524, N, Insufficent funds
4034, Cash, 62600, Y, 
4035, Gift card, 75394, N, Insufficent funds
4036, Cash, 70072, N, Insufficent funds
4037, Cash, 29931, Y, 
4038, Card, 94405, Y, 
4039, Cash, 19829, N, Insufficent funds
4040, Internet Banking, 10501, N, Account locked
4041, Electronic, 52794, Y, 
4042, Cash, 47236, N, Insufficent funds
4043, Card, 65042, N, Invalid card number
4044, Cash, 98967, N, Insufficent funds
4045, Internet Banking, 50526, Y, 
4046, Internet Banking, 34463, Y, 
4047, Electronic, 60214, N, Account locked
4048, Cash, 56059, Y, 
4049, Card, 93838, Y, 
4050, Card, 58450, Y, 
4051, Card, 56207, Y, 
4052, Card, 64776, Y, 
4053, Internet Banking, 12214, Y, 
4054, Internet Banking, 39266, Y, 
4055, Cash, 54751, Y, 
4056, Gift card, 59742, Y, 
4057, Gift card, 18471, Y, 
4058, Internet Banking, 52215, Y, 
4059, Electronic, 56175, Y, 
4060, Cash, 17488, Y, 
4061, Cash, 85930, Y, 
4062, Gift card, 52823, Y, 
4063, Gift card, 68138, Y, 
4064, Internet Banking, 55094, Y, 
4065, Gift card, 84274, Y, 
4066, Gift card, 66713, Y, 
4067, Gift card, 45569, N, Insufficent funds
4068, Cash, 93356, Y, 
4069, Gift card, 88017, Y, 
4070, Gift card, 12470, Y, 
4071, Internet Banking, 31937, N, Account locked
4072, Gift card, 54142, Y, 
4073, Cash, 93001, Y, 
4074, Electronic, 65997, Y, 
4075, Electronic, 14502, Y, 
4076, Cash, 54540, Y, 
4077, Electronic, 36732, Y, 
4078, Cash, 53281, Y, 
4079, Cash, 84310, Y, 
4080, Gift card, 53005, Y, 
4081, Electronic, 39625, Y, 
4082, Gift card, 30333, N, Insufficent funds
4083, Cash, 96330, N, Insufficent funds
4084, Gift card, 55334, N, Insufficent funds
4085, Gift card, 24490, Y, 
4086, Cash, 26688, Y, 
4087, Card, 90647, Y, 
4088, Gift card, 15843, Y, 
4089, Cash, 22923, Y, 
4090, Cash, 89940, Y, 
4091, Card, 54343, Y, 
4092, Electronic, 59776, N, Account locked
4093, Cash, 23888, Y, 
4094, Gift card, 13948, Y, 
4095, Card, 95233, Y, 
4096, Internet Banking, 37923, Y, 
4097, Internet Banking, 94914, N, Account locked
4098, Card, 67865, Y, 
4099, Internet Banking, 36141, Y, 
4100, Card, 87406, Y, 
4101, Cash, 33749, Y, 
4102, Cash, 32563, Y, 
4103, Cash, 24720, N, Insufficent funds
4104, Card, 42950, N, Invalid zip code
4105, Cash, 82911, N, Insufficent funds
4106, Gift card, 54083, Y, 
4107, Electronic, 71808, Y, 
4108, Electronic, 23066, N, Account locked
4109, Electronic, 12845, Y, 
4110, Gift card, 28755, Y, 
4111, Electronic, 74492, Y, 
4112, Electronic, 38731, N, Account locked
4113, Cash, 57095, N, Insufficent funds
4114, Cash, 50451, N, Insufficent funds
4115, Gift card, 85115, Y, 
4116, Electronic, 16330, Y, 
4117, Card, 81674, N, Invalid zip code
4118, Cash, 93167, Y, 
4119, Internet Banking, 62019, Y, 
4120, Cash, 21771, Y, 
4121, Cash, 35443, Y, 
4122, Card, 14297, N, Invalid card number
4123, Internet Banking, 34991, Y, 
4124, Electronic, 94180, Y, 
4125, Electronic, 34090, N, Account locked
4126, Gift card, 80329, Y, 
4127, Cash, 46488, Y, 
4128, Gift card, 90142, Y, 
4129, Internet Banking, 27350, Y, 
4130, Internet Banking, 91633, Y, 
4131, Card, 75919, Y, 
4132, Internet Banking, 37913, Y, 
4133, Gift card, 37973, Y, 
4134, Cash, 83361, Y, 
4135, Internet Banking, 76338, N, Account locked
4136, Internet Banking, 63906, N, Account locked
4137, Electronic, 32378, N, Account locked
4138, Electronic, 24461, Y, 
4139, Electronic, 42145, N, Account locked
4140, Cash, 70922, N, Insufficent funds
4141, Electronic, 51749, N, Account locked
4142, Internet Banking, 32874, Y, 
4143, Gift card, 11178, Y, 
4144, Gift card, 60562, N, Insufficent funds
4145, Card, 84787, N, Invalid zip code
4146, Gift card, 37936, N, Insufficent funds
4147, Internet Banking, 93247, Y, 
4148, Cash, 16623, Y, 
4149, Card, 71225, N, Invalid zip code
4150, Internet Banking, 33080, Y, 
4151, Electronic, 49123, N, Account locked
4152, Internet Banking, 34219, Y, 
4153, Internet Banking, 42443, Y, 
4154, Internet Banking, 39528, Y, 
4155, Card, 64261, Y, 
4156, Electronic, 50475, Y, 
4157, Electronic, 36440, Y, 
4158, Gift card, 36168, Y, 
4159, Electronic, 87009, N, Account locked
4160, Card, 34607, N, Invalid card number
4161, Gift card, 64410, Y, 
4162, Card, 40057, Y, 
4163, Internet Banking, 14385, Y, 
4164, Card, 77634, Y, 
4165, Gift card, 21069, Y, 
4166, Cash, 44125, Y, 
4167, Cash, 28762, N, Insufficent funds
4168, Internet Banking, 79183, Y, 
4169, Card, 28980, Y, 
4170, Electronic, 27080, N, Account locked
4171, Electronic, 94805, Y, 
4172, Cash, 46010, N, Insufficent funds
4173, Cash, 20038, Y, 
4174, Gift card, 62192, N, Insufficent funds
4175, Electronic, 53684, Y, 
4176, Internet Banking, 98915, N, Account locked
4177, Internet Banking, 29109, N, Account locked
4178, Cash, 52470, Y, 
4179, Gift card, 71866, Y, 
4180, Internet Banking, 93890, Y, 
4181, Card, 95384, Y, 
4182, Cash, 98927, Y, 
4183, Card, 49275, Y, 
4184, Electronic, 69736, Y, 
4185, Card, 97289, Y, 
4186, Electronic, 84296, N, Account locked
4187, Internet Banking, 26169, Y, 
4188, Gift card, 23597, Y, 
4189, Card, 90003, Y, 
4190, Cash, 51357, N, Insufficent funds
4191, Electronic, 61509, Y, 
4192, Card, 38467, N, Invalid zip code
4193, Internet Banking, 64319, Y, 
4194, Cash, 74928, Y, 
4195, Electronic, 52074, Y, 
4196, Electronic, 77471, Y, 
4197, Cash, 77983, N, Insufficent funds
4198, Card, 69361, N, Invalid card number
4199, Gift card, 49367, Y, 
4200, Electronic, 39781, Y, 
4201, Internet Banking, 67309, Y, 
4202, Card, 91476, Y, 
4203, Card, 79107, Y, 
4204, Gift card, 82547, Y, 
4205, Electronic, 40877, Y, 
4206, Gift card, 39024, Y, 
4207, Electronic, 55550, Y, 
4208, Card, 42789, Y, 
4209, Gift card, 70547, Y, 
4210, Card, 39525, Y, 
4211, Gift card, 56680, Y, 
4212, Gift card, 19206, N, Insufficent funds
4213, Electronic, 44510, Y, 
4214, Cash, 36325, Y, 
4215, Electronic, 93771, Y, 
4216, Electronic, 69030, Y, 
4217, Cash, 26630, Y, 
4218, Electronic, 50015, Y, 
4219, Card, 99745, Y, 
4220, Cash, 89984, N, Insufficent funds
4221, Internet Banking, 79991, Y, 
4222, Cash, 55113, Y, 
4223, Gift card, 86737, Y, 
4224, Internet Banking, 77998, Y, 
4225, Electronic, 76270, Y, 
4226, Cash, 19281, Y, 
4227, Card, 37289, Y, 
4228, Card, 56454, N, Invalid zip code
4229, Internet Banking, 29350, Y, 
4230, Internet Banking, 26011, Y, 
4231, Card, 99316, Y, 
4232, Card, 54714, Y, 
4233, Gift card, 34344, N, Insufficent funds
4234, Card, 79814, N, Invalid card number
4235, Internet Banking, 85989, Y, 
4236, Card, 96152, Y, 
4237, Gift card, 34138, Y, 
4238, Card, 20841, Y, 
4239, Cash, 35883, Y, 
4240, Electronic, 55444, Y, 
4241, Card, 13851, Y, 
4242, Internet Banking, 49460, Y, 
4243, Electronic, 88522, Y, 
4244, Cash, 94048, N, Insufficent funds
4245, Gift card, 25523, Y, 
4246, Electronic, 32386, Y, 
4247, Cash, 17697, N, Insufficent funds
4248, Internet Banking, 98654, Y, 
4249, Electronic, 53553, Y, 
4250, Electronic, 35150, Y, 
4251, Cash, 66021, Y, 
4252, Internet Banking, 19902, Y, 
4253, Gift card, 32924, Y, 
4254, Card, 58119, Y, 
4255, Electronic, 67780, Y, 
4256, Electronic, 82715, Y, 
4257, Card, 16904, Y, 
4258, Card, 24892, N, Invalid CVV
4259, Internet Banking, 53525, N, Account locked
4260, Cash, 48802, Y, 
4261, Gift card, 91359, Y, 
4262, Card, 32008, Y, 
4263, Electronic, 87745, Y, 
4264, Cash, 46136, Y, 
4265, Electronic, 37462, N, Account locked
4266, Card, 72172, N, Invalid zip code
4267, Cash, 92127, Y, 
4268, Gift card, 63404, Y, 
4269, Cash, 32808, Y, 
4270, Card, 13226, N, Invalid card number
4271, Cash, 23865, Y, 
4272, Internet Banking, 70755, N, Account locked
4273, Gift card, 62129, Y, 
4274, Internet Banking, 62794, N, Account locked
4275, Gift card, 93489, Y, 
4276, Cash, 45256, Y, 
4277, Gift card, 60093, Y, 
4278, Gift card, 78601, N, Insufficent funds
4279, Gift card, 75643, Y, 
4280, Gift card, 97243, Y, 
4281, Internet Banking, 77415, Y, 
4282, Internet Banking, 45647, Y, 
4283, Gift card, 68778, Y, 
4284, Electronic, 77548, Y, 
4285, Card, 29547, Y, 
4286, Internet Banking, 34037, Y, 
4287, Internet Banking, 72676, Y, 
4288, Gift card, 78162, N, Insufficent funds
4289, Card, 34651, N, Invalid zip code
4290, Cash, 69963, N, Insufficent funds
4291, Internet Banking, 24992, Y, 
4292, Cash, 35132, N, Insufficent funds
4293, Gift card, 79976, Y, 
4294, Gift card, 75964, Y, 
4295, Electronic, 94711, Y, 
4296, Gift card, 11209, Y, 
4297, Electronic, 71881, Y, 
4298, Internet Banking, 25866, Y, 
4299, Card, 19831, N, Invalid zip code
4300, Electronic, 50482, Y, 
4301, Cash, 82859, Y, 
4302, Card, 31911, N, Invalid card number
4303, Internet Banking, 84139, Y, 
4304, Card, 67564, N, Invalid card number
4305, Cash, 47987, N, Insufficent funds
4306, Internet Banking, 48753, Y, 
4307, Internet Banking, 78553, N, Account locked
4308, Electronic, 61328, N, Account locked
4309, Card, 63720, Y, 
4310, Internet Banking, 25497, Y, 
4311, Gift card, 16120, Y, 
4312, Gift card, 59212, Y, 
4313, Cash, 13727, Y, 
4314, Card, 44861, Y, 
4315, Cash, 16434, N, Insufficent funds
4316, Cash, 14400, Y, 
4317, Gift card, 25404, N, Insufficent funds
4318, Gift card, 22689, Y, 
4319, Electronic, 93626, Y, 
4320, Internet Banking, 42819, Y, 
4321, Gift card, 25952, Y, 
4322, Electronic, 46121, Y, 
4323, Internet Banking, 20747, Y, 
4324, Card, 71275, Y, 
4325, Gift card, 28742, Y, 
4326, Electronic, 70338, Y, 
4327, Card, 38211, Y, 
4328, Gift card, 39726, Y, 
4329, Card, 17354, N, Invalid zip code
4330, Gift card, 29781, Y, 
4331, Cash, 77490, N, Insufficent funds
4332, Cash, 95185, Y, 
4333, Internet Banking, 11293, Y, 
4334, Electronic, 33093, Y, 
4335, Gift card, 99630, Y, 
4336, Electronic, 21893, N, Account locked
4337, Electronic, 10630, N, Account locked
4338, Cash, 33954, N, Insufficent funds
4339, Gift card, 28801, Y, 
4340, Internet Banking, 12322, N, Account locked
4341, Gift card, 23027, Y, 
4342, Gift card, 67378, Y, 
4343, Cash, 80091, Y, 
4344, Internet Banking, 50476, N, Account locked
4345, Card, 74450, Y, 
4346, Card, 39066, Y, 
4347, Card, 72042, Y, 
4348, Cash, 46377, Y, 
4349, Gift card, 38316, Y, 
4350, Electronic, 92699, Y, 
4351, Gift card, 29600, Y, 
4352, Internet Banking, 43476, Y, 
4353, Gift card, 95520, N, Insufficent funds
4354, Internet Banking, 44901, Y, 
4355, Card, 80126, Y, 
4356, Cash, 69357, Y, 
4357, Card, 63422, Y, 
4358, Internet Banking, 14391, Y, 
4359, Card, 64032, N, Invalid zip code
4360, Card, 36504, Y, 
4361, Electronic, 29565, Y, 
4362, Cash, 43799, Y, 
4363, Card, 46386, Y, 
